Configuration,,,,,,Position,,,Force and Moment,,,,,,Tool Deflection,,,Tool Holder Deflection,,,CAD- CNC = tool+springback,,,CAD- Robot = Robot deflection+tool+holder+springback,,,Springback,,,Rob def,,,,VJM Prediction ,,
-19.34,45.97,18.99,-179.95,-25.06,0,-14.19,33.422,-11,-55.7861,-205.688,472.9,-45.9503,-2.36206,-4.93469,0.05193822,0.192721251,-0.002104405,0.005942909072,0.02196029265,-0.000446956706,0.93634,0.8560395,0.51261,1.26165,1.21575,0.63632,0.88440178,0.663318249,0.510505595,0.3193670909,0.3377502074,0.1232630433,,0.4211615807,1.178519597,0.1503944769
-19.34,45.97,18.99,-179.95,-25.06,0,-29.426,21.271,-11,-92.7124,-146.912,430.298,-37.5916,12.03,-2.40784,0.086638956,0.137798389,-0.001914826,0.009889394964,0.01569091813,-0.0004066918517,0.93634,0.8560395,0.51261,1.26165,1.21575,0.63632,0.849701044,0.718241111,0.510695174,0.315420605,0.3440195819,0.1233033081,,0.4113443532,1.127824975,0.1045067936
-19.34,45.97,18.99,-179.95,-25.06,0,-36.211,2.667,-11,-201.721,-44.3726,466.431,-18.4204,37.6465,-3.70789,0.188857364,0.041865468,-0.002075618,0.02153094142,0.004748922184,-0.0004408425953,0.93634,0.8560395,0.51261,1.26165,1.21575,0.63632,0.747482636,0.814174032,0.510534382,0.3037790586,0.3549615778,0.1232691574,,0.510558859,1.348911283,0.01775146003
-19.34,45.97,18.99,-179.95,-25.06,0,-32.068,-16.638,-11.5,-190.186,57.8613,461.548,5.76782,42.2974,-3.66211,0.178222448,-0.053899519,-0.002053889,0.02030624669,-0.006165137329,-0.0004362274767,0.93414,0.856133875,0.5120225,1.2645125,1.2188125,0.635495,0.755917552,0.802234356,0.509968611,0.3100662533,0.3565134877,0.1230362725,,0.5066057901,1.341279179,-0.06365835384
-19.34,45.97,18.99,-179.95,-25.06,0,-18.569,-30.99,-11.5,-134.338,138,453.125,28.4454,35.9711,-3.88184,0.126049443,-0.129056283,-0.002016406,0.01434973511,-0.01472392312,-0.0004282665625,0.93414,0.856133875,0.5120225,1.2645125,1.2188125,0.635495,0.808090557,0.727077592,0.510006094,0.3160227649,0.3479547019,0.1230442334,,0.4723566731,1.272311172,-0.1261854309
-19.97,46.02,18.88,-179.95,-25.12,0,0.453,-36.124,-11.5,-37.1094,174.011,458.496,43.1946,19.0338,-4.27551,0.035058059,-0.162936657,-0.002040307,0.003973383568,-0.01857416005,-0.0004333429094,0.93414,0.856133875,0.5120225,1.2645125,1.2188125,0.635495,0.899081941,0.693197218,0.509982193,0.3263991164,0.344104465,0.1230391571,,0.4249794443,1.186225943,-0.1473443375
-20.32,46.26,18.31,-179.95,-25.44,0,19.341,-30.514,-11.5,80.0171,185.974,454.346,51.0956,-5.51147,-5.91431,-0.074662514,-0.174299251,-0.00202184,-0.008530757684,-0.01985747302,-0.0004294205784,0.93414,0.856133875,0.5120225,1.2645125,1.2188125,0.635495,0.859477486,0.681834624,0.51000066,0.3218417423,0.342821152,0.1230430794,,0.3541470344,1.051855056,-0.1542068393
-20.63,46.76,17.17,-179.95,-26.08,0,32.475,-15.828,-11.5,160.4,118.835,444.946,40.8142,-26.77,-6.41785,-0.150056128,-0.111540921,-0.00198001,-0.01711593371,-0.01269523497,-0.0004205362624,0.93414,0.856133875,0.5120225,1.2645125,1.2188125,0.635495,0.784083872,0.744592954,0.51004249,0.3132565663,0.34998339,0.1230519637,,0.2969412241,0.9433461499,-0.09695009124
-20.62,47.36,15.81,-179.95,-26.84,0,35.951,3.566,-11.5,207.153,12.207,454.834,20.0226,-42.5354,-6.90308,-0.193995457,-0.011736946,-0.002024011,-0.02211280916,-0.001315128929,-0.0004298818068,0.93414,0.856133875,0.5120225,1.2645125,1.2188125,0.635495,0.740144543,0.844396929,0.509998489,0.3082596908,0.3613634961,0.1230426182,,0.2733745855,0.9181094963,-0.01223329613
-20.3,47.87,14.67,-179.95,-27.48,0,28.734,21.899,-11.5,187.317,-92.7734,449.585,-5.49316,-44.9432,-6.79321,-0.175576762,0.086624532,-0.002000653,-0.02000161706,0.009893075982,-0.0004249207669,0.93414,0.856133875,0.5120225,1.2645125,1.2188125,0.635495,0.758563238,0.769509343,0.510021847,0.3103708829,0.352785549,0.1230475792,,0.274811119,0.9256827961,0.0678039729
-19.78,48.14,14.06,-179.95,-27.82,0,12.97,33.719,-11.5,110.352,-179.626,445.801,-29.6906,-33.9752,-6.33545,-0.10360902,0.168081856,-0.001983814,-0.0117901927,0.01916906375,-0.0004213443571,0.93414,0.856133875,0.5120225,1.2645125,1.2188125,0.635495,0.83053098,0.688052019,0.510038686,0.3185823073,0.3435095613,0.1230511556,,0.3117457259,0.9989996707,0.1310436439
-19.17,48.08,14.19,-179.95,-27.75,0,-6.986,35.445,-11.5,-3.17383,-212.952,462.158,-43.7439,-13.3759,-5.48401,0.002664071,0.199455479,-0.002056603,0.0003266031702,0.02273299193,-0.0004368040121,0.93414,0.856133875,0.5120225,1.2645125,1.2188125,0.635495,0.931475929,0.656678396,0.509965897,0.3300458968,0.3399456331,0.123035696,,0.3891916795,1.162385742,0.150947839
-18.69,47.72,15,-179.95,-27.3,0,-24.545,26.509,-11.5,-106.14,-184.998,451.782,-43.6981,9.95178,-4.30298,0.09915785,0.17342879,-0.00201043,0.01132053217,0.0197550114,-0.0004269972395,0.93414,0.856133875,0.5120225,1.2645125,1.2188125,0.635495,0.83498215,0.682705085,0.51001207,0.3190519678,0.3429236136,0.1230455028,,0.4409985744,1.246469608,0.1239406146
-18.47,47.17,16.25,-179.95,-26.6,0,-34.804,9.688,-11.5,-181.335,-98.3887,460.449,-28.9856,30.2673,-3.68042,0.16970689,0.092426068,-0.002048998,0.01935246563,0.01051396555,-0.0004351887679,0.93414,0.856133875,0.5120225,1.2645125,1.2188125,0.635495,0.76443311,0.763707807,0.509973502,0.3110200344,0.3521646594,0.1230373112,,0.4946405997,1.347238424,0.05299308518
-18.47,47.17,16.25,-179.95,-26.6,0,-34.631,-9.631,-12,-216.492,3.90625,469.849,-7.11365,43.7622,-3.69873,0.202792464,-0.003351776,-0.002090828,0.02311173736,-0.0004048577059,-0.0004440730839,0.93196,0.856228,0.51144,1.2674,1.2219,0.63468,0.729167536,0.852876224,0.509349172,0.3123282626,0.3652671423,0.1227959269,,0.528064959,1.426479244,-0.02917760097
-18.47,47.17,16.25,-179.95,-26.6,0,-24.166,-26.61,-12,-178.955,121.521,446.655,21.4874,41.9952,-4.34875,0.167783808,-0.113580575,-0.001987615,0.01911050509,-0.0129631349,-0.0004221515067,0.93196,0.856228,0.51144,1.2674,1.2219,0.63468,0.764176192,0.742647425,0.509452385,0.3163294949,0.3527088651,0.1228178485,,0.491222817,1.341190677,-0.1203654773
-18.47,47.17,16.25,-179.95,-26.6,0,-6.61,-35.332,-12,-86.5479,167.664,451.416,38.1409,27.9694,-4.12903,0.081336823,-0.156932221,-0.002008801,0.009249983533,-0.01789424522,-0.0004266513182,0.93196,0.856228,0.51144,1.2674,1.2219,0.63468,0.850623177,0.699295779,0.509431199,0.3261900165,0.3477777548,0.1228133487,,0.4459325202,1.259657757,-0.1523584728
-18.47,47.17,16.25,-179.95,-26.6,0,14.873,-32.724,-12,11.2305,194.519,452.271,50.1434,8.3313,-4.83398,-0.010237382,-0.182259727,-0.002012606,-0.001187744894,-0.02076796703,-0.0004274594129,0.93196,0.856228,0.51144,1.2674,1.2219,0.63468,0.921722618,0.673968273,0.509427394,0.3342522551,0.344904033,0.1228125406,,0.3903918981,1.152410021,-0.1702076151
-18.47,47.17,16.25,-179.95,-26.6,0,29.832,-20.053,-12,129.822,156.433,444.946,47.0673,-17.9077,-6.28052,-0.121388309,-0.146721758,-0.00198001,-0.01385057996,-0.01670753042,-0.0004205362624,0.93196,0.856228,0.51144,1.2674,1.2219,0.63468,0.810571691,0.709506242,0.50945999,0.32158942,0.3489644696,0.1228194637,,0.3132755267,0.9927137323,-0.1377507094
-18.47,47.17,16.25,-179.95,-26.6,0,35.917,-1.418,-12,205.261,70.4346,443.726,31.4484,-38.4888,-7.18689,-0.192179726,-0.066249144,-0.001974581,-0.02190910838,-0.007530034689,-0.0004193831916,0.93196,0.856228,0.51144,1.2674,1.2219,0.63468,0.739780274,0.789978856,0.509465419,0.3135308916,0.3581419653,0.1228206168,,0.2644321007,0.8910214427,-0.06879976324
-18.47,47.17,16.25,-179.95,-26.6,0,31.32,17.639,-12,211.182,-47.6685,448.486,5.85022,-46.6278,-7.1228,-0.197884143,0.044369538,-0.001995763,-0.02254746273,0.005077703735,-0.000423882058,0.93196,0.856228,0.51144,1.2674,1.2219,0.63468,0.734075857,0.811858462,0.509444237,0.3128925373,0.3605942963,0.1228161179,,0.260095193,0.8800885153,0.02442384703
-18.47,47.17,16.25,-179.95,-26.6,0,17.407,31.449,-12,155.518,-146.057,443.115,-19.8944,-40.9424,-6.53687,-0.145877574,0.136612342,-0.001971862,-0.01661035994,0.01558440533,-0.0004188057111,0.93196,0.856228,0.51144,1.2674,1.2219,0.63468,0.786082426,0.719615658,0.509468138,0.3188296401,0.3500875947,0.1228211943,,0.2834203433,0.91604514,0.1006108679
-18.47,47.17,16.25,-179.95,-26.6,0,-1.683,35.906,-12,50.7202,-202.881,451.66,-38.4613,-23.5474,-5.76782,-0.047795348,0.189977378,-0.002009887,-0.005425929352,0.02165609998,-0.0004268819324,0.93196,0.856228,0.51144,1.2674,1.2219,0.63468,0.884164652,0.666250622,0.509430113,0.3300140706,0.3440159,0.1228131181,,0.3486918623,1.048014767,0.1424677011
-18.47,47.17,16.25,-179.95,-26.6,0,-20.273,29.683,-12,-68.6646,-215.698,456.055,-47.3419,0.595093,-5.00793,0.064038299,0.202137694,-0.002029445,0.007319206278,0.02303049376,-0.0004310358227,0.93196,0.856228,0.51144,1.2674,1.2219,0.63468,0.867921701,0.654090306,0.509410555,0.3281207937,0.3426415062,0.1228089642,,0.4218938927,1.195079179,0.148148102
-18.47,47.17,16.25,-179.95,-26.6,0,-32.833,14.631,-12,-129.272,-127.441,466.431,-34.5703,18.3197,-3.05786,0.120912765,0.119614244,-0.002075618,0.013793433,0.0136144449,-0.0004408425953,0.93196,0.856228,0.51144,1.2674,1.2219,0.63468,0.811047235,0.736613756,0.509364382,0.321646567,0.3520575551,0.1227991574,,0.4689807279,1.300478807,0.07858328024
-18.47,47.17,16.25,-179.95,-26.6,0,-35.448,-4.74,-12.5,-220.337,-51.8188,456.421,-18.6035,41.0339,-3.70789,0.206346238,0.048822892,-0.002031073,0.02352031714,0.005543150238,-0.0004313817439,0.9298,0.856321875,0.5108625,1.2703125,1.2250125,0.633875,0.723453762,0.807498983,0.508831427,0.3169921829,0.3631474748,0.1225811183,,0.5175469397,1.392209338,0.01515701089
-18.47,47.17,16.25,-179.95,-26.6,0,-27.689,-22.634,-12.5,-210.632,71.228,461.304,9.28345,45.7764,-3.90015,0.197414766,-0.066452021,-0.002052803,0.0224905598,-0.007593359456,-0.0004359968626,0.9298,0.856321875,0.5108625,1.2703125,1.2250125,0.633875,0.732385234,0.789869854,0.508809697,0.3180219402,0.3610972655,0.1225765031,,0.5210977668,1.409744718,-0.08136770714
-18.47,47.17,16.25,-179.95,-26.6,0,-11.695,-33.797,-12.5,-136.047,152.344,444.336,32.0709,35.6873,-4.01917,0.127665425,-0.142544711,-0.001977295,0.01453277887,-0.01625728724,-0.000419959727,0.9298,0.856321875,0.5108625,1.2703125,1.2250125,0.633875,0.802134575,0.713777164,0.508885205,0.3259797211,0.3524333378,0.1225925403,,0.4671239459,1.294211199,-0.141586327
-18.47,47.17,16.25,-179.95,-26.6,0,7.778,-34.907,-12.5,-27.0996,201.294,452.271,48.5962,16.4886,-4.84314,0.02567044,-0.188541181,-0.002012606,0.002904336689,-0.02148867179,-0.0004274594129,0.9298,0.856321875,0.5108625,1.2703125,1.2250125,0.633875,0.90412956,0.667780694,0.508849894,0.3376081633,0.3472019532,0.1225850406,,0.4126129982,1.196298977,-0.1772963049
-18.47,47.17,16.25,-179.95,-26.6,0,24.937,-25.635,-12.5,88.6841,186.829,439.697,51.0223,-8.43201,-5.85938,-0.082824791,-0.175137243,-0.001956652,-0.009457738265,-0.01995021661,-0.0004155752226,0.9298,0.856321875,0.5108625,1.2703125,1.2250125,0.633875,0.846975209,0.681184632,0.508905848,0.3310547617,0.3487404084,0.1225969248,,0.3333749427,1.029219099,-0.162804063
-18.47,47.17,16.25,-179.95,-26.6,0,34.768,-8.379,-12.5,177.979,113.037,431.03,38.8458,-30.7892,-6.67419,-0.166577141,-0.106120015,-0.001918084,-0.01899474304,-0.01207666936,-0.0004073836942,0.9298,0.856321875,0.5108625,1.2703125,1.2250125,0.633875,0.763222859,0.75020186,0.508944416,0.321517757,0.3566139556,0.1226051163,,0.2707258752,0.8949298768,-0.1023785823
-18.47,47.17,16.25,-179.95,-26.6,0,33.994,11.11,-12.5,222.351,0.671387,442.749,16.571,-45.7306,-7.22351,-0.208283705,-0.000911278,-0.001970233,-0.02373733708,-0.00008284525302,-0.0004184597899,0.9298,0.856321875,0.5108625,1.2703125,1.2250125,0.633875,0.721516295,0.855410597,0.508892267,0.3167751629,0.3686077797,0.1225940402,,0.2506590826,0.8593905122,-0.01362153108
-18.47,47.17,16.25,-179.95,-26.6,0,21.468,28.603,-12.5,191.04,-99.3042,437.622,-8.36792,-45.4193,-6.40869,-0.179109388,0.092803906,-0.001947418,-0.020400857,0.01059272203,-0.0004136140571,0.9298,0.856321875,0.5108625,1.2703125,1.2250125,0.633875,0.750690612,0.763517969,0.508915082,0.320111643,0.358097903,0.1225988859,,0.2592698341,0.8662106726,0.06502646693
-18.47,47.17,16.25,-179.95,-26.6,0,3.267,35.614,-12.5,96.8018,-197.632,433.35,-34.1309,-31.1188,-6.31714,-0.090927197,0.185019892,-0.001928408,-0.01034406492,0.02109413198,-0.000409576419,0.9298,0.856321875,0.5108625,1.2703125,1.2250125,0.633875,0.838872803,0.671301983,0.508934092,0.3301684351,0.347596493,0.1226029236,,0.3076441354,0.9530948069,0.1393664834
-18.47,47.17,16.25,-179.95,-26.6,0,-15.905,32.032,-12.5,-29.2969,-225.952,446.777,-46.637,-7.7179,-5.52063,0.027162421,0.211696499,-0.001988158,0.003116508767,0.0241233332,-0.0004222668138,0.9298,0.856321875,0.5108625,1.2703125,1.2250125,0.633875,0.902637579,0.644625376,0.508874342,0.3373959912,0.3445672918,0.1225902332,,0.3913157767,1.127097085,0.1575504186
-18.47,47.17,16.25,-179.95,-26.6,0,-30.347,18.922,-12.5,-138.733,-196.777,436.279,-45.3644,16.7358,-4.56848,0.129743219,0.184494649,-0.001941442,0.01480218761,0.02101376088,-0.0004123447341,0.9298,0.856321875,0.5108625,1.2703125,1.2250125,0.633875,0.800056781,0.671827226,0.508921058,0.3257103124,0.3476768641,0.1226001553,,0.4481977588,1.232215353,0.1314478857
-18.47,47.17,16.25,-179.95,-26.6,0,-35.763,0.185,-12.5,-205.872,-92.041,451.05,-26.6327,35.6598,-3.69873,0.192760202,0.086482755,-0.002007173,0.0219746581,0.009836419987,-0.000426305397,0.9298,0.856321875,0.5108625,1.2703125,1.2250125,0.633875,0.737039798,0.76983912,0.508855327,0.3185378419,0.358854205,0.1225861946,,0.5036046907,1.358555408,0.04760807261
-18.47,47.17,16.25,-179.95,-26.6,0,-30.39,-18.505,-13,-227.539,32.2266,452.759,0.0274658,46.2616,-3.92761,0.21320423,-0.029915489,-0.002014778,0.02429359127,-0.00342961717,-0.0004279206413,0.92766,0.8564155,0.51029,1.27325,1.22815,0.63308,0.71445577,0.826500011,0.508275222,0.3212964087,0.3683048828,0.1223620794,,0.522101549,1.402612944,-0.0508380298
-18.47,47.17,16.25,-179.95,-26.6,0,-16.161,-31.699,-13,-180.115,118.53,441.04,23.3276,41.9861,-3.42407,0.168905952,-0.11084667,-0.001962628,0.01923574795,-0.01264651207,-0.0004168445456,0.92766,0.8564155,0.51029,1.27325,1.22815,0.63308,0.758754048,0.74556883,0.508327372,0.3263542521,0.3590879879,0.1223731555,,0.4886614689,1.332032824,-0.1155586405
-18.47,47.17,16.25,-179.95,-26.6,0,2.875,-35.465,-13,-80.3223,198.73,444.336,45.3918,25.8728,-4.47693,0.075502537,-0.186096526,-0.001977295,0.008585261326,-0.0212132531,-0.000419959727,0.92766,0.8564155,0.51029,1.27325,1.22815,0.63308,0.852157463,0.670318974,0.508312705,0.3370047387,0.3505212469,0.1223700403,,0.4357081349,1.234523515,-0.1762790093
-18.47,47.17,16.25,-179.95,-26.6,0,21.365,-28.452,-13,39.0625,212.646,435.669,53.7323,1.80359,-5.37415,-0.036341699,-0.199277068,-0.001938727,-0.004160293166,-0.02270460615,-0.0004117681987,0.92766,0.8564155,0.51029,1.27325,1.22815,0.63308,0.891318301,0.657138432,0.508351273,0.3414297068,0.3490298939,0.1223782318,,0.3583584441,1.075645011,-0.183974765
-18.47,47.17,16.25,-179.95,-26.6,0,33.818,-11.061,-13,150.085,136.108,428.345,42.7917,-23.5474,-6.30798,-0.140436931,-0.127711136,-0.001906135,-0.01601645351,-0.01453883884,-0.0004048459933,0.92766,0.8564155,0.51029,1.27325,1.22815,0.63308,0.787223069,0.728704364,0.508383865,0.3295735465,0.3571956612,0.122385154,,0.2847469,0.9210451525,-0.1201449894
-18.47,47.17,16.25,-179.95,-26.6,0,34.593,8.328,-13,219.91,49.1943,434.937,26.2756,-42.691,-7.1228,-0.205971754,-0.0463436,-0.00193547,-0.02347574112,-0.005262144521,-0.0004110763562,0.92766,0.8564155,0.51029,1.27325,1.22815,0.63308,0.721688246,0.8100719,0.50835453,0.3221142589,0.3664723555,0.1223789236,,0.2457646947,0.8451396691,-0.05142037303
-18.47,47.17,16.25,-179.95,-26.6,0,25.078,25.241,-13,212.463,-75.3174,429.932,-1.79443,-47.3694,-7.15942,-0.199134867,0.070317883,-0.001913197,-0.02268622577,0.008031319902,-0.0004063459305,0.92766,0.8564155,0.51029,1.27325,1.22815,0.63308,0.728525133,0.786097617,0.508376803,0.3229037742,0.3637031801,0.1223836541,,0.2416856103,0.8268292883,0.04621529387
-18.47,47.17,16.25,-179.95,-26.6,0,8.105,34.646,-13,131.47,-183.105,429.81,-28.7476,-36.5936,-6.65588,-0.123376258,0.17137745,-0.001912655,-0.01404408728,0.01954192013,-0.0004062306234,0.92766,0.8564155,0.51029,1.27325,1.22815,0.63308,0.804283742,0.68503805,0.508377345,0.3315459127,0.3521925799,0.1223837694,,0.285394561,0.907397408,0.1287130275
-18.47,47.17,16.25,-179.95,-26.6,0,-11.279,33.746,-13,23.8037,-220.459,439.453,-43.5425,-17.45,-5.60303,-0.022566171,0.206510861,-0.001955566,-0.002551811013,0.02353533293,-0.0004153446084,0.92766,0.8564155,0.51029,1.27325,1.22815,0.63308,0.905093829,0.649904639,0.508334434,0.343038189,0.3481991671,0.1223746554,,0.3547188511,1.049562699,0.1553110901
-18.47,47.17,16.25,-179.95,-26.6,0,-27.308,22.809,-13,-105.591,-208.252,433.105,-46.3074,9.25598,-4.78821,0.098680269,0.195210411,-0.001927317,0.01126337436,0.02223747199,-0.0004093448597,0.92766,0.8564155,0.51029,1.27325,1.22815,0.63308,0.828979731,0.661205089,0.508362683,0.3343266256,0.349497028,0.1223806551,,0.4256896508,1.184721438,0.1418324285
-18.47,47.17,16.25,-179.95,-26.6,0,-35.268,4.707,-13,-187.195,-123.84,446.655,-32.5928,30.1208,-3.73535,0.175232908,0.116248464,-0.001987615,0.01997951083,0.0132303087,-0.0004221515067,0.92766,0.8564155,0.51029,1.27325,1.22815,0.63308,0.752427092,0.740167036,0.508302385,0.3256104892,0.3585041913,0.1223678485,,0.4881196936,1.322998969,0.07352642746
-18.47,47.17,16.25,-179.95,-26.6,0,-32.324,-14.432,-13.5,-226.135,-9.8877,434.326,-8.75244,43.7256,-3.57971,0.211847899,0.009521655,-0.001932751,0.02414207747,0.001065839189,-0.0004104988756,0.92554,0.856508875,0.5097225,1.2762125,1.2313125,0.632295,0.713692101,0.84698722,0.507789749,0.3265304225,0.3737377858,0.1221620011,,0.5043507133,1.350495182,-0.01663283669
-18.47,47.17,16.25,-179.95,-26.6,0,-18.223,-30.348,-13.5,-207.336,128.418,424.072,22.5128,45.1172,-4.67834,0.194370422,-0.120092452,-0.00188712,0.02214039776,-0.01370145849,-0.0004008074101,0.92554,0.856508875,0.5097225,1.2762125,1.2313125,0.632295,0.731169578,0.736416423,0.50783538,0.3285321022,0.3611021665,0.1221716926,,0.4882681284,1.316856028,-0.1252296198
-18.47,47.17,16.25,-179.95,-26.6,0,0.411,-35.397,-13.5,-104.858,180.725,429.199,39.6973,29.7913,-4.24805,0.098463916,-0.16921593,-0.001909936,0.0112037263,-0.0192905269,-0.0004056531429,0.92554,0.856508875,0.5097225,1.2762125,1.2313125,0.632295,0.827076084,0.687292945,0.507812564,0.3394687737,0.3555130981,0.1221668469,,0.4362882782,1.222155548,-0.1615550727
-18.47,47.17,16.25,-179.95,-26.6,0,18.923,-29.917,-13.5,-3.54004,208.252,438.721,51.5533,10.1807,-4.66919,0.003561113,-0.195142079,-0.001952308,0.0003876148347,-0.02223476874,-0.0004146527659,0.92554,0.856508875,0.5097225,1.2762125,1.2313125,0.632295,0.921978887,0.661366796,0.507770192,0.3502848852,0.3525688563,0.1221578472,,0.3855734031,1.131332708,-0.1800664594
-18.47,47.17,16.25,-179.95,-26.6,0,31.806,-15.539,-13.5,127.563,173.218,414.917,48.5229,-17.6788,-6.22559,-0.119316076,-0.162431722,-0.001846381,-0.01361115248,-0.01849891363,-0.0003921546534,0.92554,0.856508875,0.5097225,1.2762125,1.2313125,0.632295,0.806223924,0.694077153,0.507876119,0.3370613475,0.3563047114,0.1221803453,,0.2867494161,0.9153595226,-0.1502347637
-18.47,47.17,16.25,-179.95,-26.6,0,35.188,3.858,-13.5,206.482,78.7354,418.213,31.5674,-38.2507,-6.86646,-0.19335933,-0.07399626,-0.001861048,-0.02204087597,-0.008415067737,-0.0003952698348,0.92554,0.856508875,0.5097225,1.2762125,1.2313125,0.632295,0.73218067,0.782512615,0.507861452,0.328631624,0.3663885573,0.1221772302,,0.2402226741,0.8218725722,-0.07444744969
-18.47,47.17,16.25,-179.95,-26.6,0,26.629,23.324,-13.5,221.924,-37.1704,419.189,6.57349,-47.2321,-6.96716,-0.20797103,0.034593024,-0.001865391,-0.02369520623,0.003959238201,-0.0003961922915,0.92554,0.856508875,0.5097225,1.2762125,1.2313125,0.632295,0.71756897,0.821915851,0.507857109,0.3269772938,0.3708443868,0.1221763077,,0.2275650321,0.7917623055,0.01707533316
-18.47,47.17,16.25,-179.95,-26.6,0,10.43,33.827,-13.5,150.818,-157.532,418.213,-22.1741,-39.0289,-6.65588,-0.141476574,0.147415262,-0.001861048,-0.01610867126,0.01681156447,-0.0003952698348,0.92554,0.856508875,0.5097225,1.2762125,1.2313125,0.632295,0.784063426,0.709093613,0.507861452,0.3345638287,0.3579920605,0.1221772302,,0.2648787246,0.8586619726,0.1098901904
-18.47,47.17,16.25,-179.95,-26.6,0,-8.87,34.27,-13.5,55.2368,-213.501,423.34,-40.036,-22.9523,-5.71289,-0.051990698,0.199971469,-0.001883863,-0.005906699691,0.0227916692,-0.0004001155676,0.92554,0.856508875,0.5097225,1.2762125,1.2313125,0.632295,0.873549302,0.656537406,0.507838637,0.3447658003,0.3520119558,0.1221723844,,0.3234275324,0.9753528483,0.1512586185
